,PC1,PC2,PC3,PC4,PC5
BbAHh,-0.0269146331710099,0.040080568755234997,-0.17617651025042913,-0.0034913837168289745,-0.009746875640088344
BbMxAHH,0.0007278658317396233,-0.01019336110944086,-0.011069441895192184,0.004305390050186237,0.005722840448215076
BbAvAHH,0.00020989626876554766,-0.010287276409277412,-0.01687830865550725,0.00455515553380196,0.005849036365748674
BbMxAHA,-0.0012819252375402535,0.010523934812772561,0.006019597408936259,-0.0042070736528615526,-0.005742010043312344
BbAvAHA,-0.0017037777288052345,0.010474940719351514,0.001707880559827783,-0.0040575769594558666,-0.005695315331618329
PSCH,-0.051404034371103094,0.19298190032719403,0.035893246230581134,-0.016600927907991062,-0.014025978764155858
PSCD,0.14506468170291206,0.07060661578306299,0.1015418434990095,-0.006082414361261122,-0.0031304745674835288
PSCA,0.1464702362272389,-0.06319498609350815,0.09661970680354529,0.00333785357859469,0.005532566868626163
MaxH,-0.04863983334475176,0.1951279125859573,0.055331279267549355,-0.010653216250737674,-0.00577381511137279
MaxD,0.148382390836191,0.07233272762212344,-0.02796373292885093,-0.002557271239888424,-0.003363178355755122
MaxA,0.1492046702903389,-0.05293500009735505,-0.02806887771819579,0.003081947600033421,4.930532505925286e-05
AvgH,-0.052551368203615056,0.19421413127938236,0.05596508696339489,-0.010501141261372778,-0.005784837335721854
AvgD,0.14922789863900723,0.07480420408010302,-0.029927078013989368,-0.0024736068726248254,-0.003690230656230212
AvgA,0.1493477193090881,-0.06045662460854176,-0.030449031466146012,0.0032276548999144498,-9.099328600916453e-05
B365>2.5,-0.10601892227932123,-0.1032559757038058,0.09657759722113925,-0.000439843892584402,0.00026468263990022653
B365<2.5,0.12675254894151067,0.10300015196528614,-0.07871437611445281,-0.002433062143787801,-0.001668189830447979
P>2.5,-0.10190525982274203,-0.10112611383777113,0.09708618703367895,-0.0014966804435999938,0.0012820781188600844
P<2.5,0.12037521893006942,0.10263342299153845,-0.08301193926366725,-0.002503492794610296,-0.0024916085015164197
Max>2.5,-0.10646103774058042,-0.10405647479350164,0.09654233762177668,-0.0007839686242355627,0.0008788667621662741
Max<2.5,0.1271339660812162,0.10352446891845926,-0.07809136370032548,-0.002495708634951045,-0.0015570537771497281
Avg>2.5,-0.1066959822857535,-0.10427580621408676,0.09660915830202021,-0.0008897165982595092,0.0008396840953860744
Avg<2.5,0.12703989397296855,0.10429244532214203,-0.07942842387589158,-0.002308929163601594,-0.0013776018160041067
AHh,-0.11736740176580938,0.13900564966984832,0.05332001269126684,0.020029034779577803,-0.021416295401591783
B365AHH,-0.0016591210550181697,-0.00443533428339227,-0.00648718899945889,-0.2862918276464994,0.2025528196814401
B365AHA,-0.0014644639929525024,0.0021928797697432813,0.00749662406188205,0.2862813503393536,-0.20175853254786846
PAHH,-0.0050370617032723065,-0.006719076854019084,-0.00536481766580951,-0.289601708477712,0.2032856586025281
PAHA,-0.0033719760924021303,0.0024175828215982397,0.007786891331226105,0.2900572884119053,-0.20286960442744265
MaxAHH,0.0040198314971277875,-0.0042577263718868155,-0.00872908120922654,-0.287481814450207,0.20290277466347215
MaxAHA,0.0027916100244258584,0.007272457358218727,0.00717288609079415,0.2877586548042138,-0.20374629649388618
AvgAHH,-0.0013228852963107485,-0.007358357908065182,-0.007118775006107707,-0.2908031883537773,0.2057542972063892
AvgAHA,-0.00029177425024969284,0.005013363950293824,0.008341517881198553,0.2911808217341825,-0.20530223414886353
B365CH,-0.05203893672680853,0.19376199740140576,0.055772499800879935,-0.013270385369190686,-0.008002422826209611
B365CD,0.14765078586486638,0.07846308414521774,-0.03376207847755186,-0.000927408625103791,-0.0010439375088082826
B365CA,0.14745859926048183,-0.06428824671687894,-0.03503837723134822,0.006150910510546324,0.004390063669169265
BWCH,-0.0523094712711161,0.19316242832772704,0.05559185206641415,-0.011912197262276136,-0.007375701349010444
BWCD,0.14794907160977971,0.07775749201342506,-0.033293650441742054,-0.0011268373657575324,-0.0005831558361905858
BWCA,0.1481275372046412,-0.06150105669084835,-0.034077211246951254,0.005472150932456705,0.0029183654217919018
IWCH,-0.05161906832443465,0.1866756017599659,0.05450805390004821,-0.008824802771433058,-0.006337183732526682
IWCD,0.14049223060562674,0.07548360256665926,-0.029566103071964393,-0.002113676369822895,-0.0022233674965853995
IWCA,0.14068515821382574,-0.06527788478944688,-0.03167602345054197,0.003556255462432564,0.00180074100190292
WHCH,-0.05002980819005858,0.19471319312487256,0.05531798324091041,-0.01211948927199213,-0.007311738005813818
WHCD,0.14744229814720225,0.07813081048769259,-0.03308802038648746,-0.0020891920271965364,-0.0015999670053507516
WHCA,0.14902034897788088,-0.0592333933974027,-0.033756439485366524,0.005221710882613267,0.002803280993742439
VCCH,-0.049157317866539964,0.1941219404528299,0.05512438775233351,-0.013560350168422879,-0.008421256925468626
VCCD,0.14838596763644715,0.07551381185167007,-0.033963590916820795,-0.0010471376050945164,-0.0018511818680757304
VCCA,0.14840033614771755,-0.05781316000449938,-0.03320850680644636,0.0062680757989282505,0.003664250910686803
MaxCH,-0.04752493340624898,0.19512433951982422,0.05523729450558205,-0.012369261232558453,-0.00705151008949123
MaxCD,0.1478588389391245,0.07586626258437636,-0.030822343368153843,-0.0010039309662885569,-0.0009946513056904413
MaxCA,0.14939532048753595,-0.05359274811998362,-0.031791879467944276,0.005659942586393928,0.003664058516805006
AvgCH,-0.05171691386150451,0.19458578908298368,0.056089290378769203,-0.01269668038599503,-0.007750710565847455
AvgCD,0.14891765265862428,0.07790111539695485,-0.03358912732898704,-0.0012347250162597387,-0.0013179388345985123
AvgCA,0.1495331767500923,-0.06061214714858766,-0.033747106371363855,0.005850955341260871,0.0035196549565786254
B365C>2.5,-0.10487261327490378,-0.10146485072797086,0.0974088040179988,-0.0022195962523155026,-0.0008236923983446283
B365C<2.5,0.12790415001160801,0.0997906372510818,-0.08023763352650141,-0.00028711213933727627,-0.0009453491100817632
PC>2.5,-0.10140654809935247,-0.10026209330050657,0.09800882760604984,-0.002354495454199958,-0.0001860078514590908
PC<2.5,0.12098593557393231,0.10264195561620554,-0.0825391983034837,-0.002090161339059325,-0.0014244607162460596
MaxC>2.5,-0.1060490250877089,-0.10222145706594955,0.09814671269617947,-0.002620993898539972,-0.0009170725304120643
MaxC<2.5,0.12888899006074533,0.1023001613330607,-0.07871021210208735,-0.000895260256549937,-0.0001403568912183138
AvgC>2.5,-0.10662180483527527,-0.10277420654587674,0.09837842635071813,-0.0019046459031636048,-0.00028166141914012896
AvgC<2.5,0.12873122342378654,0.10236878721912494,-0.08048926220038734,-0.0008571642896881435,-0.00024559046212083727
AHCh,-0.11720452615054709,0.14007336023218647,0.05508384232950581,0.009287710825382755,0.021687845100559683
B365CAHH,0.002878783219050673,-0.026729737481418513,-0.0105169935697392,-0.20317048168796423,-0.28730735582058253
B365CAHA,-0.008057977238549592,0.02081518656254342,0.01217953009693564,0.2019594090707521,0.2877909480043203
PCAHH,0.0013716259059706921,-0.026573954362081088,-0.010533856941987316,-0.20512868612825103,-0.2921201152182293
PCAHA,-0.008906307678805759,0.02257773426092866,0.01274660456618187,0.2054925941043132,0.29162966549616104
MaxCAHH,0.004574501994538837,-0.004159572531098466,-0.008747786004364889,-0.19652159492377239,-0.2780179815426009
MaxCAHA,0.010474608266351205,0.023202538654813816,0.008225504817856453,0.19496122646957575,0.2799883294391018
AvgCAHH,0.0014139918540795435,-0.022722245973533683,-0.010754172341562866,-0.2068649419319114,-0.2940243233968361
AvgCAHA,-0.003951539359152956,0.022034531004335778,0.01230962026745895,0.20559165342324942,0.29444182900025734
